Player,Clusters,R.Slope,BB.Slope,H.Slope,R.R^2,BB.R^2,H.R^2
Nick Hundley,1,0.26397239724,0.118649864986,0.728898889889,0.986625940496,0.970578848236,0.991896535599
Ezequiel Carrera,3,0.32094388835,0.254093323683,0.618268718677,0.984918932577,0.957205430353,0.963719561309
Cory Spangenberg,0,0.479147592016,0.282308643106,0.931334119209,0.965148491008,0.965446782186,0.996776270514
Nori Aoki,1,0.442372364648,0.212933588652,0.81745691503,0.963543164752,0.964653463946,0.989223272776
Aaron Judge,6,0.795715183947,0.855439143242,0.995031403987,0.987860097333,0.995414941826,0.981554250759
Chris Carter,1,0.346483342147,0.352564780539,0.622051824432,0.980179008512,0.975743207823,0.983537376621
Manuel Margot,0,0.428184331797,0.267066052227,1.05585253456,0.97539052158,0.971887819217,0.997529387571
Jett Bandy,5,0.217060294526,0.290052792442,0.566240622395,0.788001899516,0.97359921338,0.911882543268
Lorenzo Cain,0,0.644699253002,0.301961809471,1.17126278884,0.986410988487,0.989102301296,0.994441126973
Odubel Herrera,0,0.484799410085,0.205583661583,1.11723169115,0.982230890838,0.94183108992,0.994528246369
Mitch Haniger,1,0.531429734129,0.294336679327,0.987879815518,0.951089408372,0.886668564836,0.979434065813
Andrew Knapp,6,0.566594516595,0.563059163059,0.834199134199,0.97495944573,0.976296149243,0.996639959547
Nomar Mazara,1,0.416092575249,0.41982956796,0.923801626582,0.995195388623,0.994312369619,0.994018132482
Jose Altuve,0,0.761143161918,0.381794746433,1.46287568336,0.996796278937,0.989737338853,0.994346325683
Marwin Gonzalez,0,0.527672407946,0.34481589122,1.09877747805,0.98150510641,0.987429856322,0.995734133675
Brian McCann,1,0.468388386282,0.359838523038,0.86712339575,0.987278824414,0.954901261207,0.9937185738
Lonnie Chisenhall,1,0.469109055501,0.368476144109,0.916893865628,0.979372215273,0.973484643392,0.98574816353
Hanley Ramirez,0,0.47499647801,0.409944013399,0.920872618743,0.988344823315,0.983887718023,0.996354351129
Jon Jay,1,0.464805055652,0.28963941309,0.793278082701,0.97987291896,0.972879644921,0.991022951509
Corey Seager,6,0.607967249252,0.481498976539,1.14902377578,0.970537326648,0.959476920973,0.994814456231
Ryan Goins,1,0.236395908557,0.222082981448,0.690438419836,0.986569006018,0.993270140979,0.989897626669
Rio Ruiz,3,0.420180995475,0.316470588235,0.559547511312,0.973103284838,0.949012677809,0.967281732477
Mookie Betts,6,0.68851789583,0.506636185321,1.09280578736,0.990470105557,0.995963148931,0.997757308236
Matt Holliday,6,0.529653384879,0.430622062118,0.852183367746,0.986018362028,0.975173086589,0.987635237772
Bradley Zimmer,1,0.441050389228,0.275036818851,0.78543814433,0.987538864484,0.982392915618,0.98076713051
Kendrys Morales,0,0.478175222202,0.286098313078,0.927828768366,0.987182056876,0.986202158722,0.995980581154
Scooter Gennett,0,0.618348388202,0.245631234214,0.999970032964,0.980510333145,0.969038317332,0.993425949609
Tyler Collins,5,0.373265306122,0.432959183673,0.556836734694,0.92259604512,0.975690400832,0.920577748238
Lane Adams,5,0.198038767536,0.145590492049,0.318281255102,0.887650200534,0.891970872734,0.942561421255
Trey Mancini,0,0.468386614179,0.235997249696,1.08986845386,0.991545699503,0.991202956034,0.997859806584
Brian Dozier,6,0.671803338144,0.500698909701,1.12226386297,0.971733549399,0.985587840462,0.997994832048
Chris Herrmann,3,0.300486182835,0.294944202333,0.361800639847,0.97823698689,0.971010773097,0.980952824036
Bryce Harper,6,0.831813548327,0.621239922157,1.23127606339,0.981120180921,0.985716000858,0.994499859002
Didi Gregorius,0,0.552600973261,0.190851960294,1.15494638904,0.996798356207,0.958014895582,0.995620495967
Nick Markakis,6,0.487125223246,0.446800271847,1.03050370628,0.995781253194,0.9960406052,0.997498726091
Stephen Piscotty,1,0.404250466515,0.482313912503,0.792535766121,0.982509356781,0.980379662032,0.995453179236
Brett Gardner,6,0.640041904663,0.50072370686,1.04586376542,0.989862177783,0.985709599055,0.996505389185
Justin Turner,6,0.610560152057,0.518688506261,1.13031641324,0.99020699623,0.981722042202,0.991012771062
Joey Gallo,6,0.588988023471,0.528884334057,0.644303110682,0.99464636036,0.980313142369,0.994060547877
Jose Martinez,1,0.487517337032,0.305905259789,0.772095380348,0.993894126098,0.952860154634,0.986496581306
Travis d'Arnaud,1,0.337065637066,0.187442962443,0.771726921727,0.982976967111,0.967976435285,0.994673691839
Cheslor Cuthbert,2,0.200621366391,0.173951828724,0.624657787074,0.919302354793,0.828870330117,0.989791245104
Marcell Ozuna,0,0.580758763476,0.392812755283,1.18055126651,0.996282022773,0.98337822251,0.99823989993
Kyle Schwarber,1,0.509710420394,0.449731663685,0.655512075134,0.995149492149,0.987672281383,0.989995914685
Randal Grichuk,1,0.476154992548,0.218012464436,0.850799349682,0.987475827381,0.973319062436,0.995486636047
Christian Yelich,6,0.602607070349,0.529883020206,1.10700589733,0.996055316718,0.993802545323,0.99740203946
Mike Moustakas,0,0.554785844428,0.224711518996,1.08492572277,0.989028811015,0.974794123101,0.996341159698
Anthony Rendon,6,0.607784234545,0.605486063233,1.09523457763,0.993044040616,0.994099388554,0.998082539892
Raimel Tapia,3,0.4388016076,0.129557910121,0.757690902448,0.921498054276,0.909753532914,0.963771415592
Tommy La Stella,3,0.28893619647,0.249691472294,0.504010860175,0.974704849775,0.969855195432,0.985652682312
Tommy Pham,6,0.753327709036,0.542240813648,1.09202755906,0.996649528735,0.987341260405,0.99621247622
Rey Fuentes,3,0.340476190476,0.120146520147,0.548672161172,0.962860289465,0.949770570859,0.968439903863
Arismendy Alcantara,4,0.203779196921,0.0100953547371,0.294269967632,0.920734316054,0.336984609779,0.897597430403
Kurt Suzuki,0,0.504477262072,0.189416315049,0.984915611814,0.988429040287,0.936885746971,0.988872194987
Josh Harrison,0,0.517084210767,0.257742400659,1.05439994964,0.986803154649,0.975157474266,0.995031929642
Ryan Schimpf,1,0.480648282535,0.488630865989,0.529430736978,0.976871068435,0.916407567347,0.974427413351
Austin Barnes,1,0.309504950495,0.382166569598,0.632184041934,0.947100987227,0.989305965087,0.996379761001
Matt Reynolds,3,0.183015404262,0.215100965759,0.401907574427,0.978589710852,0.881838749486,0.954450569446
Roberto Perez,1,0.33145218342,0.402630394238,0.67562222651,0.971995698454,0.986316022222,0.978078160852
Addison Russell,1,0.45403577055,0.271652302845,0.741877490501,0.985982442069,0.965279045442,0.989911447811
Jonathan Villar,1,0.409033080982,0.263207113849,0.81891210458,0.981748617453,0.924106328361,0.995333059258
Justin Upton,6,0.663088184036,0.464925060997,1.06834088533,0.998187581608,0.990075290352,0.99788844182
Jose Bautista,6,0.613380537687,0.544326784783,0.799608035277,0.994909977402,0.995401940012,0.989324666348
Carlos Asuaje,1,0.379283928005,0.34746926843,0.968026839491,0.980521770833,0.978559958053,0.992947143083
Bruce Maxwell,3,0.228571428571,0.424675324675,0.646944634313,0.908224783347,0.971342145174,0.971355729756
Matt Olson,0,0.591521908219,0.331993777547,0.95624837957,0.953248394501,0.932850624904,0.985604815935
Hernan Perez,1,0.358594283485,0.126158423568,0.879528826456,0.972774763634,0.945185273816,0.99176085236
Alen Hanson,3,0.334136080812,0.116870292465,0.465702697937,0.979082489214,0.937421330265,0.981129202623
Daniel Robertson,1,0.321880784894,0.349159570529,0.674431691966,0.987961931873,0.96101532503,0.985931372019
Gary Sanchez,0,0.684636228153,0.330497222599,1.07864787969,0.993266574144,0.982282088916,0.996484721533
Leury Garcia,0,0.563025210084,0.179616963064,1.03847957788,0.990168641631,0.967878729063,0.996343146735
Ian Kinsler,0,0.644827972446,0.367157018314,0.978102189781,0.994489741305,0.98946638245,0.997295958199
Mike Zunino,1,0.429494885917,0.319962234461,0.772239181747,0.993257136717,0.987446275585,0.987922077541
Greg Garcia,3,0.22306624673,0.289270271713,0.462088293386,0.964492647964,0.991390853996,0.985968880668
Mark Reynolds,6,0.581278860151,0.509789555879,0.939342350072,0.991290081781,0.990554856265,0.99279075334
Yolmer Sanchez,1,0.451061262791,0.271942446043,0.891322221726,0.987393642853,0.985750610836,0.992482144983
Manny Machado,0,0.553087512446,0.303028243587,1.11421346272,0.986916735844,0.972353436621,0.988992821436
Taylor Motter,3,0.282593283295,0.246173882219,0.551484980657,0.975760382319,0.957131911892,0.981682939118
Billy Hamilton,0,0.638379730998,0.30962062648,1.04165065463,0.989021165193,0.993363778642,0.997324297872
Starlin Castro,0,0.647003133242,0.204729166197,1.19378761581,0.973248560891,0.977750294932,0.994042876528
Yoan Moncada,6,0.656718124643,0.544997141224,0.927158376215,0.95203611068,0.978030710212,0.968959111898
Francisco Cervelli,1,0.352958446251,0.414588979223,0.878500451671,0.981934635628,0.980296816149,0.992453902268
Yasiel Puig,1,0.474179156501,0.421631230394,0.852157546183,0.994471044654,0.98141245584,0.998294278046
Robinson Chirinos,1,0.501875594379,0.382762142933,0.763710330739,0.9816572653,0.922297129145,0.982390340134
Derek Fisher,3,0.364941138526,0.290275761974,0.498790517658,0.974652635634,0.902176500808,0.926666033175
